trade_date,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-08-11,2230,0.9851819450142159,1,1,36.17,1293741904.0,37.46,37.69,36.11,344683.0,-0.03443673251468227,-0.01898562516951441,-0.0796437659033078,0.02317451756416367,1587560738.4,2020
2020-08-11,1,0.9103459520174765,2,1,11.87,3748036832.0,11.71,12.4,11.71,2603308.0,0.015397775876817787,0.007640067911714787,-0.044283413848631326,0.025077189073262025,2249205083.2,2020
2020-08-11,600000,0.8699161306335295,3,1,8.53,676102352.0,8.64,8.74,8.51,636732.0,-0.005827505827505908,-0.021788990825688193,-0.03506787330316752,0.017729085009971973,689166655.2,2020
2020-08-12,2230,0.9609748702776081,1,1,35.77,1243967632.0,36.15,36.15,35.0,344511.0,-0.011058888581697457,-0.028517110266159662,-0.06361256544502614,0.02254841674252414,1537552685.6,2020
2020-08-13,2230,0.9287956569323964,1,1,36.0,771523824.0,35.99,36.5,35.7,210132.0,0.006429969247973011,-0.055118110236220486,-0.011803458687894564,0.02017817895969972,1443385644.0,2020
2020-08-13,1,0.8670622807116865,2,1,11.92,1190139728.0,12.14,12.2,11.88,837262.0,-0.01650165016501648,0.02405498281786933,0.002523128679562614,0.02465391468837987,2137165147.2,2020
2020-08-13,600000,0.7508416242133356,3,1,8.57,271625408.0,8.66,8.67,8.56,257985.0,-0.0058004640371228655,-0.002328288707799664,-0.010392609699769073,0.017244788272870498,618709896.8,2020
2020-08-17,2230,0.7413185410539452,1,0,38.4,2259846256.0,37.85,38.92,37.35,582558.0,0.014531043593130732,0.025093432995194842,0.03309120258272791,0.023257931337499396,1532971126.4,2020
2020-08-18,2230,0.8344717910636039,1,1,37.98,1261748800.0,38.5,38.58,37.81,326349.0,-0.010937500000000044,0.050041470832181245,0.015779620219309898,0.023408969608021944,1516618245.6,2020
2020-08-18,600000,0.826835729104885,2,1,8.75,580056192.0,8.91,8.91,8.69,540920.0,-0.016853932584269704,0.02579132473622514,-0.02777777777777779,0.01767787800713081,605589632.0,2020
2020-08-18,1,0.6055816183377811,3,0,12.89,2033477712.0,12.94,13.04,12.65,1350261.0,-0.0030935808197988246,0.08593091828138166,0.05396565821749788,0.025771831016309137,2238481060.8,2020
2020-08-19,2230,0.8955021914675184,1,1,37.25,1195656896.0,38.36,38.36,37.06,312703.0,-0.019220642443391167,0.0413754542913054,-0.004543025120256616,0.023843873036359545,1504763450.4,2020
2020-08-19,600000,0.8509181306301402,2,1,8.64,462151808.0,8.75,8.8,8.63,434481.0,-0.012571428571428456,0.0023201856148493682,-0.048458149779735615,0.01768086221450106,571327429.6,2020
2020-08-19,1,0.6338455608073742,3,0,12.84,2154215104.0,12.85,13.09,12.7,1420928.0,-0.0038789759503491394,0.05940594059405946,0.05679012345679002,0.02572708925158928,2251419454.4,2020
2020-08-20,1,0.8989117773693366,1,1,12.33,1962605008.0,12.75,12.88,12.27,1333802.0,-0.03971962616822433,0.03439597315436238,0.04936170212765956,0.026266973877383967,2207622944.0,2020
2020-08-20,2230,0.885253758660287,2,1,36.77,1030634976.0,37.2,37.58,36.61,273875.0,-0.012885906040268402,0.0213888888888889,0.0038220038220038166,0.02352867009481079,1476944544.8,2020
2020-08-20,600000,0.855174375849436,3,1,8.53,559975456.0,8.62,8.63,8.49,535390.0,-0.012731481481481621,-0.004667444574095736,-0.04157303370786525,0.017380120470043343,552460215.2,2020
2020-08-21,1,0.7384487391135967,1,1,12.19,1787278576.0,12.45,12.45,12.06,1234517.0,-0.011354420113544261,-0.0016380016380017626,0.08451957295373669,0.024200067339395986,2171754517.6,2020
