trade_date,engine,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-06-12,u2,1,0.6816096672525842,2,1,10.73,1331618736.0,10.64,10.76,10.61,1030551.0,-0.008317929759704246,-0.052956751985878125,-0.0027881040892192566,0.018198353256825592,914059696.8,2020
2020-06-12,u2,2230,0.6493908716666287,3,1,34.2,1670028176.0,33.5,34.75,33.4,481495.0,0.0011709601873537423,0.04651162790697683,0.04523227383863082,0.02301483015571512,1123093348.0,2020
2020-06-12,u2,600000,0.48267846945351833,4,1,8.01,267574331.0,8.04,8.04,7.89,255145.0,0.00881612090680095,-0.014760147601476148,0.0348837209302324,0.01121909162535696,225393122.25,2020
2020-06-15,u2,300750,0.9769918134520991,1,1,73.92,2526289040.0,73.11,75.9,72.71,159452.0,-0.011896805239941188,0.0497017892644136,0.137755887332615,0.028028651531983258,2584003958.4,2020
2020-06-15,u2,2230,0.9553461783031673,2,1,33.42,1245591792.0,34.17,34.28,33.41,361387.0,-0.02280701754385972,0.009667673716012182,0.027675276752767486,0.023636600405809578,1141077998.4,2020
2020-06-15,u2,1,0.9186090120856886,3,1,10.56,850767504.0,10.59,10.71,10.54,660313.0,-0.01584342963653307,-0.07042253521126751,-0.01584342963653307,0.018535369837049624,914424088.8,2020
2020-06-15,u2,600000,0.8999354658890093,4,1,7.81,265574307.0,7.87,7.95,7.81,254979.0,-0.024968789013732895,-0.03221809169764567,0.00385604113110527,0.012669581664725336,230564801.85,2020
2020-06-16,u2,300750,0.9411894659643482,1,1,75.2,2107390560.0,75.76,77.02,74.1,131297.0,0.017316017316017396,0.046624913013222136,0.14320462146549096,0.028100734904327497,2614407456.8,2020
2020-06-16,u2,1,0.7630154947683194,2,1,10.63,927043680.0,10.64,10.73,10.6,718059.0,0.006628787878787845,-0.06836108676599473,-0.023875114784205675,0.018260254455509144,920688489.6,2020
2020-06-16,u2,600000,0.6008839049404116,3,1,7.91,184966297.0,7.9,7.96,7.86,176827.0,0.012804097311139628,-0.02825552825552835,0.012804097311139628,0.012957636850500085,233290854.0,2020
2020-06-16,u2,2230,0.48800844979338254,4,1,34.37,1192668208.0,33.8,34.51,33.63,343123.0,0.028426092160382943,0.04372912238080762,0.012967875036840493,0.022455476441680763,1118038835.2,2020
2020-06-17,u2,300750,0.9954629633261122,1,1,73.98,1973464256.0,74.67,75.48,72.98,125291.0,-0.016223404255319096,0.00845147219193021,0.07015767394763506,0.026555930553481037,2461709060.0,2020
2020-06-17,u2,2230,0.9136366360287377,2,1,34.4,1140940992.0,34.45,34.92,33.93,325237.0,0.0008728542333431566,-0.010071942446043258,0.024114319738017143,0.022308732229142307,1119830924.0,2020
2020-06-17,u2,1,0.8271086859144874,3,1,10.59,918251152.0,10.63,10.66,10.5,716468.0,-0.0037629350893697566,-0.05699020480854855,-0.040760869565217295,0.017929110372504376,920104603.2,2020
2020-06-17,u2,600000,0.6752916649336128,4,1,7.93,169024390.0,7.9,7.97,7.89,161486.0,0.0025284450063209896,-0.013681592039800905,0.007623888182973326,0.012862707689729804,231332311.1,2020
2020-06-18,u2,300750,0.9945394085519216,1,1,74.62,1526258400.0,73.98,74.96,72.98,96562.0,0.008650986753176548,-0.03604185505748603,0.09558067831449124,0.02621204676510263,2421586091.2,2020
