trade_date,code,rank,u1_score,ret_1
2022-11-18,2,3,-0.0333202161377994,
2022-11-21,0,1,-0.0051367424081316,
2022-11-21,1,2,-0.0152521199971246,-0.013347022587269053
2022-11-21,2,3,-0.0307931075045794,
2022-11-22,0,1,0.0322596434495983,
2022-11-22,1,2,0.0322596434495983,0.037460978147762836
2022-11-22,2,3,-0.0288309656510022,
2022-11-23,0,1,0.0050674755916915,
2022-11-23,1,2,0.0003613408318237,0.0
2022-11-23,2,3,-0.0046658135824468,
2022-11-24,0,1,-0.003577331955674,
2022-11-24,1,2,-0.004890067913591,-0.005015045135406293
2022-11-24,2,3,-0.0177859405374758,
2022-11-25,0,1,0.0324388066371933,
2022-11-25,1,2,0.0324388066371933,0.040322580645161255
2022-11-25,2,3,-0.0087130713710653,
2022-11-28,0,1,-0.0162886959494058,
2022-11-28,1,2,-0.0328018956791993,-0.03488372093023251
2022-11-28,2,3,-0.0328018956791993,
2022-11-29,0,1,0.032851802235734,
2022-11-29,1,2,0.032851802235734,0.11847389558232924
2022-11-29,2,3,0.032851802235734,
2022-11-30,0,1,0.0037677657758188,
2022-11-30,1,2,-0.0044474602361309,0.0035906642728904536
2022-11-30,2,3,-0.0083360391758666,
2022-12-01,0,1,0.0339922038312355,
2022-12-01,1,2,0.0061002158169958,0.0062611806797854275
2022-12-01,2,3,0.0002249792665234,
2022-12-02,0,1,0.0018232678283313,
2022-12-02,1,2,0.0001524279911017,-0.01777777777777767
2022-12-02,2,3,-0.0185173923414293,
2022-12-05,0,1,0.0342772629700517,
2022-12-05,1,2,0.0303433328877314,0.05701357466063328
2022-12-05,2,3,0.0131595243635218,
2022-12-06,0,1,0.0001031181537133,
2022-12-06,1,2,0.0001031181537133,-0.008561643835616417
2022-12-06,2,3,-0.0085387202541749,
2022-12-07,0,1,0.0135732106364174,
2022-12-07,1,2,-0.0033809692092693,-0.024179620034542215
2022-12-07,2,3,-0.0321566062650936,
2022-12-08,0,1,0.018353614395615,
2022-12-08,1,2,0.006530437109673,0.018584070796460184
2022-12-08,2,3,-0.0052577652763055,
2022-12-09,0,1,0.0346721891688882,
2022-12-09,1,2,0.0093456041928158,0.02953953084274552
2022-12-09,2,3,-0.0094551881189653,
2022-12-12,0,1,0.0137179481648935,
2022-12-12,1,2,-0.0099364287579684,-0.04978902953586495
2022-12-12,2,3,-0.031060778922056,
2022-12-13,0,1,0.013412920121633,
2022-12-13,1,2,0.0115153213347857,0.011545293072824148
2022-12-13,2,3,-0.0324526559457976,
2022-12-14,0,1,0.0249426374490819,
2022-12-14,1,2,0.0001565143838239,-0.0008779631255486642
2022-12-14,2,3,-0.0008742193874739,
2022-12-15,0,1,0.006119661910814,
2022-12-15,1,2,-0.0124935569108168,-0.011423550087873546
2022-12-15,2,3,-0.0141375729723213,
2022-12-16,0,1,0.0315834639076332,
2022-12-16,1,2,0.0147587693378912,0.021333333333333426
2022-12-16,2,3,-0.0043236092741355,
2022-12-19,0,1,-0.0188821651108866,
2022-12-19,1,2,-0.0201454297088251,-0.026109660574412552
2022-12-19,2,3,-0.0319246814848701,
2022-12-20,0,1,-0.0160467139735211,
2022-12-20,1,2,-0.0328008192894201,-0.02502234137622872
2022-12-20,2,3,-0.0328008192894201,
2022-12-21,0,1,0.0137687962040988,
2022-12-21,1,2,0.0086705844541992,0.01191567369385882
2022-12-21,2,3,-0.0082525586776408,
2022-12-22,0,1,0.0349969229920935,
2022-12-22,1,2,0.0087338337324652,0.005434782608695787
2022-12-22,2,3,0.0061266922811044,
2022-12-23,0,1,0.0136849083452736,
2022-12-23,1,2,0.0028150396405299,0.002702702702702897
2022-12-23,2,3,-0.0084973941579644,
2022-12-26,0,1,-0.0150451081485404,
2022-12-26,1,2,-0.0167963842224747,-0.018867924528301994
2022-12-26,2,3,-0.019427411768933,
2022-12-27,0,1,0.0351103163424041,
2022-12-27,1,2,0.0208557937659965,0.031135531135531025
2022-12-27,2,3,0.0117686100009037,
2022-12-28,0,1,0.0138561734387651,
2022-12-28,1,2,0.0030441068791617,0.002664298401420906
2022-12-28,2,3,-0.0153691835558744,
2022-12-29,0,1,0.014195889270471,
2022-12-29,1,2,-0.0092466871594912,-0.009743135518157642
2022-12-29,2,3,-0.0093211103030566,
2022-12-30,0,1,0.0135012716092063,
2022-12-30,1,2,0.0061174208656948,0.011627906976744207
2022-12-30,2,3,-0.0085164982577628,
2023-01-03,0,1,0.0349436669231887,
2023-01-03,1,2,0.0349436669231887,0.05393457117595046
2023-01-03,2,3,-0.0084379564982899,
2023-01-04,0,1,0.035878343392084,
2023-01-04,1,2,0.0144942749097281,0.04614093959731558
2023-01-04,2,3,-0.0070066121457921,
2023-01-05,0,1,0.0145355795163414,
2023-01-05,1,2,0.0077674777826376,0.012830793905372895
2023-01-05,2,3,0.0064990840511681,
2023-01-06,0,1,0.0136193456702865,
2023-01-06,1,2,-0.002172143837859,0.011084718923198622
2023-01-06,2,3,-0.0150174517255185,
2023-01-09,0,1,0.0144306169543154,
2023-01-09,1,2,0.0028136233762978,0.014095536413468945
2023-01-09,2,3,0.0002785112098239,
2023-01-10,0,1,0.0024726409119566,
2023-01-10,1,2,-0.0093334739917392,-0.02779922779922772
2023-01-10,2,3,-0.0327007103543925,
2023-01-11,0,1,0.0150970996592471,
2023-01-11,1,2,0.0030157284393174,0.018268467037331204
2023-01-11,2,3,-0.0322710308745676,
2023-01-12,0,1,0.0032357894512509,
2023-01-12,1,2,0.0003111531034177,0.0
2023-01-12,2,3,-0.0044216614445269,
2023-01-13,0,1,0.0310749215133424,
2023-01-13,1,2,0.0131806272200799,0.021840873634945357
2023-01-13,2,3,-0.0020868156474754,
2023-01-16,0,1,0.0363364420364166,
2023-01-16,1,2,0.0110615520916281,0.00992366412213741
2023-01-16,2,3,-0.0020292957606055,
2023-01-17,0,1,0.0097051428495504,
2023-01-17,1,2,-0.0044258169297763,-0.008314436885865528
2023-01-17,2,3,-0.0084508232870801,
2023-01-18,0,1,0.012211612919646,
2023-01-18,1,2,0.0021656206276814,0.010670731707317138
2023-01-18,2,3,-0.0033163384777638,
2023-01-19,0,1,0.0362938465621598,
2023-01-19,1,2,0.0033991971014137,-0.0015082956259426794
